Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
2022_07_23_01_1;Harpe;Marie-Pierre Langlamet;Louis Spohr;Fantasia for Harp, Op.35 1 Mvt (Spohr, Louis);EN;En cours édito (Iris)
2022_10_23_03_1;Piano;Nelson Goerner;Robert Schumann;Fantasie;EN;Online
2022_10_22_04_1;Piano;Nelson Goerner;Robert Schumann;Fantasie;EN;Online
2022_10_22_05_1;Piano;Nelson Goerner;Frédéric Chopin;Fantasie;EN;Online
2022_02_11_06_1;Piano;Marie-Josèphe Jude;Robert Schumann;Fantasie in C, Op. 17, 1st movement;FR;Online
2021_02_11_01;Trombone;Jacques Mauger;Zygmunt Stojowski;Fantasie, Op. 38;FR;Online
2021_02_10_08;Trombone;Jacques Mauger;Zygmunt Stojowski;Fantasie, Op. 38;FR;Online
2022_08_03_02_1;Clarinette;Patrick Messina;Robert Schumann;Fantasiestücke, Op.73, I mvt;EN;Problème/ tech issue
2022_08_03_02_2;Clarinette;Patrick Messina;Robert Schumann;Fantasiestücke, Op.73. 2nd Mvt;EN;Stand by
2022_02_11_01_1;Piano;Marie-Josèphe Jude;Wolfgang Amadeus Mozart;Fantasy No. 2 in C minor, K. 396/385f;FR;Online
2022_03_28_02_1;Flute;Philippe Bernold;Claude-Paul Taffanel;"Fantasy on ""Der Freischütz"", 1st part";FR;Online
2022_03_28_02_2;Flute;Philippe Bernold;Claude-Paul Taffanel;"Fantasy on ""Der Freischütz"", 2nd part";FR;Online
2022_08_02_02_1;Guitar;Tristan Manoukian;William Walton;Five Bagatelles for Guitar 1er mvt;FR;Stand by
2022_10_25_03_1;Flute;Davide Formisano;Carl Reinecke;Flute Concerto;EN;Online
2022_07_22_01_1;Flute;Vincent Lucas;Wolfgang Amadeus Mozart;flute concerto in D major K.314;EN;Problème/ tech issue
2022_10_29_02_1;Flute;Davide Formisano;Wolfgang Amadeus Mozart;Flute concerto in G major;EN;En cours édito (Iris)
2021_02_17_05;Flute;Silvia Careddu;Wolfgang Amadeus Mozart;Flute Concerto in G major, 1st movement;EN;Online
2022_10_25_01_1;Flute;Davide Formisano;Sergueï Prokofiev;Flute Sonata;EN;A post-produire (Olivier)
2021_02_17_04;Flute;Silvia Careddu;Johann Sebastian Bach;Flute Sonata in E minor, 1st movement;EN;Online
2022_02_18_02_1;Piano;Stephen Kovacevich;Franz Schubert;Four Impromptus, Op. 142;EN;Online
2022_10_24_05_1;Piano;Dmitri Alexeev;Johann Sebastian Bach;French_Suite_No5;EN;A post-produire (Olivier)
2022_11_03_05_1;Piano;Jean-François Heisser;Maurice Ravel;Gaspard de la nuit;FR;A post-produire (Olivier)
2023_02_17_03_01;Piano;Alexandar Madzar;Maurice RAVEL;Gaspard de la Nuit;Anglais;
2021_10_28_03_1;Piano;Dalberto Michel;Maurice Ravel;Gaspard de la nuit;EN;Online
2022_04_04_03_1;Piano;Denis Pascal;Maurice Ravel;Gaspard de la nuit, Ondine;FR;Online
2021_10_28_02_1;Piano;Dalberto Michel;Enrique Granados;Goyescas;EN;Online
2022_10_26_04_1;Flute;Davide Formisano;Paul Taffanel;Grande Fantaisie;EN;Online
2022_10_25_02_1;Flute;Davide Formisano;Paul Taffanel;Grande Fantaisie;EN;Online
2020_10_3_4;Flute;Philippe Bernold;Theobald Boehm;Grande Polonaise, Op. 16;FR;Online
2022_11_05_04_1;Piano;Jean-Frédéric Neuburger,Lars Anders Tomter;Hector Berlioz;Harold in Italie;EN;A post-produire (Olivier)
2022_11_05_04_2;Piano;Jean-Frédéric Neuburger,Lars Anders Tomter;Hector Berlioz;Harold in Italie;EN;A post-produire (Olivier)
2022_04_12_06_1;Violon;Gérard Poulet;Camille Saint-Saëns;Havanaise;FR;Online
2021_02_16_03;Alto;Isabel Charisius;Joseph Joachim;Hebräische Melodien, Op. 9, 2nd movement;EN;Online
2021_04_16_01;Clarinette;Sharon Kam;Bela Kovacs;Hommage à Manuel De Falla;EN;Online
2022_04_04_06_1;Piano;Denis Pascal;Franz Liszt;Hungarian Rhapsody No. 5 in E minor, S.244/5, Héroïde élégiaque;FR;Online
2022_07_29_05_1;Violon;Gilles Apap;Jean Sibelius;I. Allegro moderato violon concerto op 47;FR;Stand by
2022_07_30_03_1;Violon;Stéphanie-Marie Degand;Robert Schumann;I. Mit leidenschaftlichem Ausdruck;FR;A post-produire (Olivier)
2022_11_03_06_1;Piano;Jean-François Heisser;Isaac Albeniz;Iberia, excerpt from book 1;FR;A post-produire (Olivier)
2022_07_30_02_1;Violon;Stéphanie-Marie Degand;Piotr Ilitch Tchaïkovski;III Finale Violin Concerto, Op.35 (Tchaikovsky, Pyotr);FR;A post-produire (Olivier)
2023_02_09_05_01;Voix;Antoine PALLOC;Gioacchino ROSSINI;Il barbiere di Siviglia;Anglais;
2022_04_13_06_1;Chant;Jean-Paul Fouchécourt;Wolfgang Amadeus Mozart;Il Mio Tesoro, Aria of Don Giovanni ;FR;Online
2023_02_08_02_01;Voix;Antoine PALLOC;Gioacchino ROSSINI;Il Turco in Italia;Anglais;
2022_07_27_04_1;Flute;Soyoung Lee;Eugène Bozza;Image for flute Eugene Booze op 3;;Stand by
ITWL_Garlitsky;Violon;Boris Garlitsky;;Interview - Boris Garlitsky;FR;Online
ITWL_Moinet;Hautbois;Céline Moinet;;Interview - Céline Moinet;FR;Online
ITWL_Leroux;Chant;François Le Roux;;Interview - François Le Roux;FR;Online
ITWL_Helmerson;Violoncelle;Frans Helmerson;;Interview - Franz Helmerson;EN;Online
ITWL_Charisius;Alto;Isabel Charisius;;Interview - Isabel Charisius;FR;Online
ITWL_Mauger;Trombone;Jacques Mauger;;Interview - Jacques Mauger;FR;Online
ITWL_Rouvier;Piano;Jacques Rouvier;;Interview - Jacques Rouvier;FR;Online
ITWL_Heisser;Piano;Jean-François Heisser;;Interview - Jean-François Heisser;FR;Online
2022_04_01_ITWJP_Fouchecourt;Chant;Jean-Paul Fouchécourt;;Interview - Jean-Paul Fouchécourt;FR;Online
ITWL_Maintz;Violoncelle;Jens Peter Maintz;;Interview - Jens Peter Maintz;EN;Online
